ncode,narou_title,match_score,is_matched,annict_id,annict_title,watchers_count,satisfaction_rate,reviews_count,episodes_count,season_year,season_name,media,fetched_at
N1189MF,今世で勝ち組だった俺、娘にイケメン彼氏ができたと思ったら、王家に喧嘩を売られた,0.0,False,,,,,,,,,,2026-06-23
N3126MF,【第三部開始】当て馬令嬢リベルタ〜転生喪女はゴーインニマイウェー〜,0.0,False,,,,,,,,,,2026-06-23
N6050MG,【コミカライズ決定】病弱な幼馴染みを優先する婚約者に「頑強なだけが取り柄」と言われたので、いっそのこと女騎士になろうとした結果,0.0,False,,,,,,,,,,2026-06-23
N1602MG,夜会の受付嬢は見た。いや、見ていない。,0.0,False,,,,,,,,,,2026-06-23
N6882MG,やってられない婚約破棄,0.0,False,,,,,,,,,,2026-06-23
N5398MG,婚約解消された私とあなたのその後の話,0.0,False,,,,,,,,,,2026-06-23
N0920MF,【電子書籍化決定】「女に嫌われる女」について、もう少し考えた方がいい,0.0,False,,,,,,,,,,2026-06-23
N0412MF,婚約破棄の現場に居合わせたモブ令嬢ですが、その証言ひとつで王子の人生が終わりました,0.0,False,,,,,,,,,,2026-06-23
N8528MF,離縁されましたが、義理の息子が「いかないで」と泣くので困っています,0.0,False,,,,,,,,,,2026-06-23
N7272MD,あなたがワインを浴びせた相手は、&quot;子爵令嬢&quot;じゃありませんわ,0.0,False,,,,,,,,,,2026-06-23
N2468MC,【感謝！1000万PV達成！】45歳社長、転生先でハズレスキル「綻びの目」を武器に没落領地を再建する,0.0,False,,,,,,,,,,2026-06-23
N8883MC,カフェにて～転生令嬢は人生を楽しむことにした,0.0,False,,,,,,,,,,2026-06-23
N3181MH,子供ができない女と離縁された私は、七人目の継母としてワケあり伯爵家に嫁ぐ,0.0,False,,,,,,,,,,2026-06-23
N2591MG,初恋の花は枯れた【電子書籍化決定】,0.0,False,,,,,,,,,,2026-06-23
N2469MF,「政略結婚は時代遅れ」だそうなので、公爵は王家を見捨てます,0.0,False,,,,,,,,,,2026-06-23
N3623MH,英雄になった夫が実在していた件について 〜待つ妻ごっこをしていた未婚の私のもとへ勇者様が帰ってきた。誰だお前〜,0.0,False,,,,,,,,,,2026-06-23
N3011MH,聖女に選ばれましたが相応しくないそうなので、帰って実家の畑を手伝います,0.0,False,,,,,,,,,,2026-06-23
N3445MG,夫が戦地から新しい妻を連れ帰ったので、全てを奪うことにした,0.0,False,,,,,,,,,,2026-06-23
N5367MH,はい。わたくしが辺境伯に嫁いだばかりの妻です,0.0,False,,,,,,,,,,2026-06-23
N9517ME,勇者様がギルド酒場で顔面から転んだらしい。治癒士の私は何もしていません,0.0,False,,,,,,,,,,2026-06-23
N9677MD,悪役令嬢の父は、家族の死亡フラグをすべて叩き潰すことにした,0.0,False,,,,,,,,,,2026-06-23
N9282MG,「自サバ女を見習え」って？ 何を仰ってるの？,0.0,False,,,,,,,,,,2026-06-23
N4547MF,完結　生贄の小舟,0.0,False,,,,,,,,,,2026-06-23
